,书名,豆瓣链接,封面URL,作者,译者,出版社,出版日期,价格,评分,评分人数,一句话评价
0,红楼梦,https://book.douban.com/subject/1007305/,https://img1.doubanio.com/view/subject/s/public/s1070959.jpg,[清] 曹雪芹 著 ,, 人民文学出版社 , 1996-12 , 59.70元,9.6,436004,都云作者痴，谁解其中味？
1,活着,https://book.douban.com/subject/4913064/,https://img9.doubanio.com/view/subject/s/public/s29869926.jpg,余华 ,, 作家出版社 , 2012-8 , 28.00元,9.4,861329,生的苦难与伟大
2,1984,https://book.douban.com/subject/4820710/,https://img1.doubanio.com/view/subject/s/public/s4371408.jpg,[英] 乔治·奥威尔 , 刘绍铭 , 北京十月文艺出版社 , 2010-4-1 , 28.00,9.4,294075,栗树荫下，我出卖你，你出卖我
3,哈利·波特,https://book.douban.com/subject/24531956/,https://img9.doubanio.com/view/subject/s/public/s29101586.jpg,J.K.罗琳 (J.K.Rowling) , 苏农 , 人民文学出版社 , 2008-12-1 , 498.00元,9.7,116138,从9¾站台开始的旅程
4,三体全集,https://book.douban.com/subject/6518605/,https://img9.doubanio.com/view/subject/s/public/s28357056.jpg,刘慈欣 ,, 重庆出版社 , 2012-1 , 168.00元,9.5,197385,地球往事三部曲
5,百年孤独,https://book.douban.com/subject/6082808/,https://img1.doubanio.com/view/subject/s/public/s27237850.jpg,[哥伦比亚] 加西亚·马尔克斯 , 范晔 , 南海出版公司 , 2011-6 , 39.50元,9.3,440022,魔幻现实主义文学代表作
6,飘,https://book.douban.com/subject/1068920/,https://img1.doubanio.com/view/subject/s/public/s1078958.jpg,[美国] 玛格丽特·米切尔 , 李美华 , 译林出版社 , 2000-9 , 40.00元,9.3,217367,革命时期的爱情，随风而逝
7,房思琪的初恋乐园,https://book.douban.com/subject/27614904/,https://img2.doubanio.com/view/subject/s/public/s29651121.jpg,林奕含 ,, 北京联合出版公司 , 2018-2 , 45.00元,9.2,393514,向死而生的文学绝唱
8,动物农场,https://book.douban.com/subject/2035179/,https://img1.doubanio.com/view/subject/s/public/s2347590.jpg,[英] 乔治·奥威尔 , 荣如德 , 上海译文出版社 , 2007-3 , 10.00元,9.3,166631,太阳底下并无新事
9,三国演义（全二册）,https://book.douban.com/subject/1019568/,https://img3.doubanio.com/view/subject/s/public/s1076932.jpg,[明] 罗贯中 ,, 人民文学出版社 , 1998-05 , 39.50元,9.3,173160,是非成败转头空
10,福尔摩斯探案全集（上中下）,https://book.douban.com/subject/1040211/,https://img1.doubanio.com/view/subject/s/public/s1229240.jpg,[英] 阿·柯南道尔 , 丁钟华 等 , 群众出版社 , 1981-8 , 53.00元/68.00元,9.3,137144,名侦探的代名词
11,白夜行,https://book.douban.com/subject/10554308/,https://img1.doubanio.com/view/subject/s/public/s24514468.jpg,[日] 东野圭吾 , 刘姿君 , 南海出版公司 , 2013-1-1 , 39.50元,9.2,492778,一宗离奇命案牵出跨度近20年步步惊心的故事
12,小王子,https://book.douban.com/subject/1084336/,https://img1.doubanio.com/view/subject/s/public/s1237549.jpg,[法] 圣埃克苏佩里 , 马振骋 , 人民文学出版社 , 2003-8 , 22.00元,9.1,770112,献给长成了大人的孩子们
13,安徒生童话故事集,https://book.douban.com/subject/1046209/,https://img3.doubanio.com/view/subject/s/public/s1034062.jpg,（丹麦）安徒生 , 叶君健 , 人民文学出版社 , 1997-08 , 25.00元,9.3,136583,为了争取未来的一代
14,呐喊,https://book.douban.com/subject/1449351/,https://img9.doubanio.com/view/subject/s/public/s34099286.jpg,鲁迅 ,, 人民文学出版社 , 1973-3 , 0.36元,9.2,166090,新文学的第一声呐喊
15,撒哈拉的故事,https://book.douban.com/subject/1060068/,https://img3.doubanio.com/view/subject/s/public/s1369343.jpg,三毛 ,, 哈尔滨出版社 , 2003-8 , 15.80元,9.2,182480,游荡的自由灵魂
16,天龙八部,https://book.douban.com/subject/1255625/,https://img9.doubanio.com/view/subject/s/public/s26018275.jpg,金庸 ,, 生活·读书·新知三联书店 , 1994-5 , 96.00元,9.2,135524,有情皆孽，无人不冤
17,邓小平时代,https://book.douban.com/subject/20424526/,https://img3.doubanio.com/view/subject/s/public/s24516687.jpg,【美】傅高义 (Ezra.F.Vogel) , 冯克利 , 生活·读书·新知三联书店 , 2013-1-18 , 88.00元,9.3,76155,个人命运背后的历史变局
18,悉达多,https://book.douban.com/subject/26980487/,https://img1.doubanio.com/view/subject/s/public/s29396368.jpg,[德] 赫尔曼·黑塞 , 姜乙 , 天津人民出版社 , 2017-1 , 32.00元,9.2,131616,
19,杀死一只知更鸟,https://book.douban.com/subject/6781808/,https://img3.doubanio.com/view/subject/s/public/s23128183.jpg,[美] 哈珀·李 , 高红梅 , 译林出版社 , 2012-9 , 32.00元,9.2,152326,有一种东西不能遵循从众原则，那就是——人的良心
20,失踪的孩子,https://book.douban.com/subject/30172069/,https://img1.doubanio.com/view/subject/s/public/s29799269.jpg,[意] 埃莱娜·费兰特 , 陈英 , 人民文学出版社 , 2018-7 , 62.00元,9.2,87901,我的整个生命，只是一场为了提升社会地位的低俗斗争。
21,明朝那些事儿（1-9）,https://book.douban.com/subject/3674537/,https://img9.doubanio.com/view/subject/s/public/s3745215.jpg,当年明月 ,, 中国海关出版社 , 2009-4 , 358.20元,9.2,183991,不拘一格的历史书写
22,新名字的故事,https://book.douban.com/subject/26986954/,https://img9.doubanio.com/view/subject/s/public/s29376146.jpg,[意] 埃莱娜·费兰特 , 陈英 , 人民文学出版社 , 2017-4 , 59.00元,9.2,98613,探索青年时代的激情、困惑、挣扎、背叛和失去
23,野草,https://book.douban.com/subject/1915958/,https://img2.doubanio.com/view/subject/s/public/s34099301.jpg,鲁迅 ,, 人民文学出版社 , 1973-3 , 0.20元,9.5,50128,我以这一丛野草，在明与暗，生与死，过去与未来之际，献于友与仇，人与兽，爱者与不爱者之前作证。
24,沉默的大多数,https://book.douban.com/subject/1054685/,https://img1.doubanio.com/view/subject/s/public/s1447349.jpg,王小波 ,, 中国青年出版社 , 1997-10 , 27.00元,9.1,155122,沉默是沉默者的通行证
